Start date,End date,Open Price,Close Price,Low Price,High Price,Open Volume,Close Volume,Low Volume,High Volume
2015-01-06,2015-01-20,77.230003,76.239998,73.540001,78.620003,27399300,22821600,19190200,34134000
2015-01-21,2015-02-03,76.160004,75.400002,73.75,78.470001,25096700,26957700,16746500,61293500
2015-02-04,2015-02-18,75.089996,76.709999,73.449997,76.910004,20277400,22426400,15062600,25254400
2015-02-19,2015-03-04,76.989998,80.900002,76.949997,81.370003,45851200,28126700,18635000,45851200
2015-03-05,2015-03-18,81.230003,80.910004,77.260002,81.989998,27825700,36912400,16093300,36912400
2015-03-19,2015-04-01,81.120003,81.669998,80.870003,86.07,42099500,22058200,18372600,44466300
2015-04-02,2015-04-16,82.25,82.309998,80.800003,83.940002,19664100,13769700,12529700,26883100
2015-04-17,2015-04-30,81.480003,78.769997,78.32,85.589996,24076300,28999000,23775300,73728100
2015-05-01,2015-05-14,79.239998,81.370003,76.790001,81.849998,24136400,49438000,14692000,49438000
2015-05-15,2015-05-29,81.410004,79.190002,78.879997,81.690002,27069900,16134600,11982000,27069900
2015-06-01,2015-06-12,79.300003,81.529999,78.660004,82.949997,18119000,11417900,11417900,31775000
2015-06-15,2015-06-26,80.550003,88.010002,80.07,89.400002,18805100,38214600,13693700,50667900
2015-06-29,2015-07-13,86.610001,90.099998,85.230003,90.220001,35957900,29976700,16908800,35957900
2015-07-14,2015-07-27,90.459999,94.169998,89.419998,99.239998,26627800,38585400,21804100,54860500
2015-07-28,2015-08-10,94.839996,94.150002,91.800003,98.739998,35236000,21624200,20136000,86211300
2015-08-11,2015-08-24,93.730003,82.089996,72.0,96.099998,22491000,83710700,15929700,83710700
2015-08-25,2015-09-08,86.949997,89.529999,83.0,91.480003,52021200,27012500,27012500,52021200
2015-09-09,2015-09-22,90.779999,92.959999,89.629997,96.489998,32551100,36888900,16321200,62300000
2015-09-23,2015-10-06,93.400002,92.800003,85.720001,95.849998,21701400,22488300,21701400,42281800
2015-10-07,2015-10-20,93.110001,97.0,90.470001,99.589996,24129300,30881800,18449600,30881800
2015-10-21,2015-11-03,97.370003,102.580002,96.470001,105.120003,21917800,21242300,20316700,42809700
2015-11-04,2015-11-17,103.190002,105.129997,100.470001,110.650002,43469300,26807200,20924700,63232900
2015-11-18,2015-12-02,105.800003,106.07,103.75,107.919998,23836500,24295200,5899600,25520600
2015-12-03,2015-12-16,106.269997,106.790001,101.459999,107.730003,23171000,21994800,15403400,26286300
2015-12-17,2015-12-31,107.489998,104.660004,103.599998,107.75,21508700,18298700,6501800,35546500
2016-01-04,2016-01-15,101.949997,94.970001,92.449997,103.769997,37717300,45935600,23225100,48488500
2016-01-19,2016-02-01,96.529999,115.089996,89.370003,115.720001,30620600,45840900,26637400,107084100
2016-02-02,2016-02-16,114.800003,101.610001,96.82,117.589996,59644900,45438300,36038100,76522700
2016-02-17,2016-03-01,102.019997,109.82,100.400002,109.82,44009600,26694700,25204900,44009600
2016-03-02,2016-03-15,109.68,110.669998,104.400002,110.830002,25641600,17586100,17236100,31436400
2016-03-16,2016-03-30,110.489998,114.699997,110.099998,116.989998,24619700,33180300,17063800,36217000
2016-03-31,2016-04-13,114.699997,110.510002,106.519997,116.169998,21138700,88113000,20324800,88113000
2016-04-14,2016-04-27,110.620003,108.889999,106.309998,114.040001,28430900,44028400,20409400,44028400
