Start date,End date,Open Price,Close Price,Low Price,High Price,Open Volume,Close Volume,Low Volume,High Volume
2012-06-01,2012-06-14,28.889999,28.290001,25.52,29.15,41855500,16855000,15816800,61489200
2012-06-15,2012-06-28,28.51,31.360001,28.35,33.450001,43563800,17713300,15553600,74834000
2012-06-29,2012-07-13,31.92,30.719999,30.549999,32.880001,19526900,8108300,8108300,19526900
2012-07-16,2012-07-27,30.5,23.709999,22.280001,30.5,24672100,123102300,11539800,123102300
2012-07-30,2012-08-10,24.0,21.809999,19.82,24.040001,29285900,25794700,15610700,80647000
2012-08-13,2012-08-24,22.15,19.41,18.75,22.450001,24973100,29622200,24973100,157565300
2012-08-27,2012-09-10,19.49,18.809999,17.549999,19.530001,20704000,24797800,16124700,60781800
2012-09-11,2012-09-24,18.92,20.790001,18.85,23.370001,50508200,79106500,36760500,121584000
2012-09-25,2012-10-08,21.200001,20.4,19.799999,22.59,46291700,32236700,29341400,65486000
2012-10-09,2012-10-22,20.389999,19.32,18.799999,20.549999,27161800,32447300,18809400,52157400
2012-10-23,2012-11-07,19.25,20.469999,19.1,24.25,78381200,33396800,29062700,228949900
2012-11-08,2012-11-21,20.52,24.32,18.870001,24.530001,34254600,89862400,34254600,229751000
2012-11-23,2012-12-06,24.58,26.969999,23.879999,28.879999,29520900,46001500,29520900,127049600
2012-12-07,2012-12-20,27.07,27.360001,26.32,28.75,51751900,35574800,35574800,91631600
2012-12-21,2013-01-07,26.66,29.42,25.15,29.790001,54555200,83781800,28230100,83781800
2013-01-08,2013-01-22,29.51,30.73,28.860001,32.209999,45871300,55243300,40256700,173242600
2013-01-23,2013-02-05,31.1,28.639999,28.01,32.509998,48899800,47948200,43845100,190744900
2013-02-06,2013-02-20,28.74,28.459999,27.1,29.290001,38375900,42098200,33109300,93498700
2013-02-21,2013-03-06,28.280001,27.450001,26.34,28.549999,49642300,33532600,31611700,83027800
2013-03-07,2013-03-20,27.57,25.860001,25.780001,28.68,74540200,44006500,25254200,74540200
2013-03-21,2013-04-04,25.66,27.07,24.719999,27.23,24336100,82016800,18456300,82016800
2013-04-05,2013-04-18,26.860001,25.690001,25.15,28.1,64566600,39059000,21311100,64566600
2013-04-19,2013-05-02,25.620001,28.969999,25.33,29.02,20380900,104257000,17150000,104257000
2013-05-03,2013-05-16,29.040001,26.129999,25.9,29.07,58506400,35499100,24930300,58506400
2013-05-17,2013-05-31,26.4,24.35,23.26,26.6,29462700,35925000,26261300,64237800
2013-06-03,2013-06-14,24.27,23.629999,22.67,24.6,35733800,30677100,26445800,58393000
2013-06-17,2013-06-28,23.91,24.879999,23.379999,25.190001,33664500,96778900,24713200,96778900
2013-07-01,2013-07-15,24.969999,26.280001,24.15,26.43,20582200,24234000,10404400,30387900
2013-07-16,2013-07-29,26.389999,35.43,25.6,35.630001,30817600,124718800,21518500,365457900
2013-07-30,2013-08-12,35.650002,38.220001,35.32,39.32,173582800,31161000,31161000,173582800
2013-08-13,2013-08-26,38.240002,41.34,36.02,41.939999,65379200,94162400,21931200,94162400
2013-08-27,2013-09-10,40.68,43.599998,39.419998,44.790001,72695100,54540300,42581900,117535700
2013-09-11,2013-09-24,43.389999,48.450001,42.43,49.66,72328300,136716100,52765300,136716100
2013-09-25,2013-10-08,49.23,47.139999,47.080002,51.599998,87879700,136081000,57204000,136081000
2013-10-09,2013-10-22,47.380001,52.68,45.259998,54.830002,147297000,83204000,58235000,147297000
2013-10-23,2013-11-05,51.75,50.110001,46.5,53.240002,57207000,76835000,45085000,248809000
2013-11-06,2013-11-19,50.259998,46.360001,45.720001,50.450001,67889000,75602000,42453000,97128000
2013-11-20,2013-12-04,46.610001,48.619999,43.549999,48.77,53933000,60890000,22953900,82565000
2013-12-05,2013-12-18,48.150002,55.57,47.709999,55.889999,43855000,76003000,36056000,92723000
2013-12-19,2014-01-03,54.330002,54.560001,53.43,58.580002,89753200,38246200,38246200,239824000
2014-01-06,2014-01-17,54.419998,56.299999,54.049999,58.959999,68852600,40849200,33663400,92253300
2014-01-21,2014-02-03,56.599998,61.48,51.849998,63.77,48669200,74866600,47951800,150178900
2014-02-04,2014-02-18,62.049999,67.300003,61.27,67.580002,45985500,43809900,36694900,61911700
2014-02-19,2014-03-04,67.050003,68.800003,65.730003,71.440002,62087100,42013500,41653700,130928900
2014-03-05,2014-03-18,69.690002,69.190002,66.620003,72.589996,74567700,40827000,38927000,74567700
2014-03-19,2014-04-01,69.169998,62.619999,57.98,69.290001,43981000,59291000,43981000,112650000
2014-04-02,2014-04-15,63.209999,59.09,55.439999,63.91,66277000,108623000,66277000,125214400
2014-04-16,2014-04-30,59.790001,59.779999,54.66,63.650002,78774000,76093000,60364000,138769000
2014-05-01,2014-05-14,60.43,59.23,56.259998,62.279999,82429000,47429000,46057000,82429000
2014-05-15,2014-05-29,59.259998,63.830002,57.310001,64.300003,56814000,42700000,38294000,58992000
2014-05-30,2014-06-12,63.950001,64.290001,61.790001,66.470001,45253500,55730000,32217000,69206900
2014-06-13,2014-06-26,64.699997,67.129997,63.349998,68.0,29419000,47714000,27715000,57335000
2014-06-27,2014-07-11,67.309998,66.339996,62.209999,68.440002,46461000,39212000,25203200,68926000
2014-07-14,2014-07-25,67.129997,75.190002,66.040001,76.739998,38537000,45917000,29594000,124168000
