Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
25-April-2016,353.7,353.7,344.6,347.55,347.3529862964,823947,10316,286200451,115447,14.01,9.1,-6.15
22-April-2016,358.7,363.5,352.7,353.8,358.4112294874,1408221,17575,504722220,191422,13.59,10.8,-4.9
21-April-2016,358,364.15,352.45,354.4,357.2400606994,1358169,20214,485192376,115798,8.53,11.7,-3.6
20-April-2016,337,358.7,337,356.85,352.3376132307,2484639,34798,875431775,319090,12.84,21.7,19.85
18-April-2016,331.1,336.55,327.75,335,333.3441921256,851568,12738,283865247,106487,12.5,8.8,3.9
13-April-2016,326.65,336,326.15,332.6,332.1483710893,1624245,21060,539490331,262266,16.15,9.85,5.95
12-April-2016,322,330.75,318.25,324.15,325.8342394317,1551340,17907,505479689,124483,8.02,12.5,2.15
11-April-2016,322,333.05,319.8,331.15,327.4082137874,1397650,18210,457602090,151119,10.81,13.25,9.15
8-April-2016,323,324.6,318.8,322.25,322.1753309711,743645,9786,239584074,49771,6.69,5.8,-0.75
7-April-2016,330,332.7,322.2,323.95,327.3777953967,1267575,15807,414975909,97514,7.69,10.5,-6.05
6-April-2016,314,331.9,313.7,328.45,326.288620842,2208652,30339,720658015,274540,12.43,18.2,14.45
5-April-2016,317.9,319.25,308.4,312.1,313.5940489133,803013,11534,251820098,86075,10.72,10.85,-5.8
4-April-2016,315.15,322.9,315.1,320.2,320.3874279722,598901,9046,191880351,77424,12.93,7.8,5.05
1-April-2016,318,319.95,312.95,317.7,316.459250927,1250826,19829,395835459,66509,5.32,7,-0.3
31-March-2016,325,325.6,314.6,319.5,320.0310635588,1645626,20999,526651439,239055,14.53,11,-5.5
30-March-2016,309,325.85,305.4,324.4,317.7343984895,1678940,22966,533456991,271467,16.17,20.45,15.4
29-March-2016,300,307.6,300,303.9,304.7484197421,876281,10587,267045250,106469,12.15,7.6,3.9
28-March-2016,317.25,317.9,297.75,300.05,305.0484113268,1238801,16103,377894277,163420,13.19,20.15,-17.2
23-March-2016,311.4,317.25,310.75,316.6,313.9437571197,982311,14102,308390406,136061,13.85,6.5,5.2
