Start date,End date,Open Price,Close Price,Low Price,High Price,Open Volume,Close Volume,Low Volume,High Volume
13-July-1995,27-July-1995,228.0,248.0,227.0,252.5,1210150,1908050,1199750,3006450
28-July-1995,11-August-1995,241.0,233.5,225.5,241.5,2456600,493300,493300,2456600
14-August-1995,1-September-1995,233.0,236.5,231.0,242.5,295850,441700,254700,990200
4-September-1995,15-September-1995,236.0,234.5,232.0,240.0,791200,232200,232200,1236800
18-September-1995,29-September-1995,235.0,243.0,233.5,247.5,123600,483000,123600,777950
4-October-1995,17-October-1995,251.0,259.5,246.0,260.0,569700,1155250,435550,1340800
18-October-1995,2-November-1995,262.0,245.0,237.0,263.0,1176750,1056250,247850,1309700
3-November-1995,17-November-1995,243.5,221.65,219.0,249.0,601400,868200,120200,868200
20-November-1995,1-December-1995,225.0,204.5,194.55,231.5,710700,1007000,698550,1668800
4-December-1995,15-December-1995,206.5,200.25,195.0,213.45,558100,733350,558100,972700
18-December-1995,8-January-1996,199.75,178.5,178.0,204.0,465000,968300,266950,1455450
9-January-1996,22-January-1996,178.0,167.5,165.0,183.0,928600,486550,196550,1353650
23-January-1996,6-February-1996,167.75,176.75,153.0,200.0,500400,1066400,500400,1144750
7-February-1996,20-February-1996,176.5,202.5,173.0,222.0,1082200,746750,678950,2556050
22-February-1996,7-March-1996,204.0,195.75,192.5,214.0,979800,738000,472400,1100250
8-March-1996,22-March-1996,194.25,184.75,177.0,199.0,745850,732150,498250,895900
25-March-1996,9-April-1996,185.0,214.5,184.5,217.5,1190850,1513900,623750,1513900
10-April-1996,24-April-1996,214.5,255.0,212.5,255.75,2883300,4200000,1144600,4200000
25-April-1996,13-May-1996,258.0,234.5,212.0,260.0,2781600,2441800,1039150,2781600
14-May-1996,27-May-1996,234.0,230.5,229.5,249.75,2821500,1447200,1178650,3780450
28-May-1996,10-June-1996,228.5,253.75,223.25,259.25,2319900,4106050,2319900,6310650
11-June-1996,24-June-1996,252.5,256.5,248.5,267.75,5905200,2897400,2897400,6278550
25-June-1996,8-July-1996,253.5,231.5,225.25,256.25,3600100,1560200,1560200,3662650
9-July-1996,22-July-1996,230.0,230.0,217.5,237.0,2632600,1483300,1483300,4852200
23-July-1996,5-August-1996,225.0,188.75,178.25,226.0,7547050,2785135,2359950,7547050
6-August-1996,20-August-1996,187.0,183.75,180.25,201.0,1986009,2173202,1892206,4069327
21-August-1996,4-September-1996,184.5,195.0,184.5,201.25,3007121,2556185,1164904,4999397
6-September-1996,23-September-1996,195.75,171.75,168.75,196.25,1791846,2814778,1284406,3360658
24-September-1996,8-October-1996,172.0,164.0,158.0,177.5,1811169,2885457,1197488,3705357
9-October-1996,23-October-1996,165.0,192.75,162.25,192.75,1794129,6607015,1794129,6607015
24-October-1996,6-November-1996,194.0,165.75,161.5,196.25,6389261,2785862,2785862,6389261
